Command	Level
s	i{50}
server.shutdown	30
server.error	50
server.who	50
server.getMissionBoardId	50
server.getPlanetId	50
server.memUsage	50
server.clock	50
server.releaseAuth	50
server.showObjectSpheres	50
server.showTriggerSpheres	50
server.listenForMessage	50
server.snapAllObjectsToTerrain	50
server.getSceneId	50
server.setGodMode	5
server.reloadCommandTable	50
server.reloadAdminTable	50
server.reloadTable	50
server.dataTableGetString	50
server.reloadTerrain	50
server.listRegions	50
server.messageCount	50
server.profiler	50
server.setFrameRateLimit	50
server.testStructurePlacement	50
server.setDebugFlag	50
server.validateWorld	50
server.setUniverseProcess	50
server.getRegionsAt	50
server.enableNewJedi	50
server.startSave	30
server.saveBuildoutArea	50
server.clientSaveBuildoutArea	50
server.destroyPersistedBuildoutAreaDuplicates	50
server.dumpCreatures	50
script.attach	40
script.detach	40
script.list	40
script.pause	40
script.reload	40
script.triggerAll	40
script.triggerOne	40
script.scriptingEnabled	40
script.enableLogging	40
resource.activate	50
resource.addtocontainer	50
resource.fillcontainer	50
resource.checktree	50
resource.deactivate	50
resource.discardHopper	50
resource.getSurveyList	50
resource.harvest	50
resource.name	50
resource.pools	50
resource.removefromcontainer	50
resource.spawntree	50
resource.survey	50
resource.tree	50
resource.viewcontainer	50
objvar.set	50
objvar.setlist	40
objvar.get	40
objvar.list	40
objvar.remove	40
object.addLocationTarget	50
object.authority	50
object.create	40
object.cellCreate	50
object.count	50
object.createAt	40
object.createManyAt	40
object.createIn	40
object.createTranslateRotate	50
object.cellCreateTranslateRotate	50
object.setInterestRadius	50
object.createTriggerVolume	50
object.destroy	30
object.find	10
object.fixHouseItemLimit	10
object.getHeight	10
object.getInventoryId	10
object.getDatapadId	10
object.getServerTemplate	50
object.getProxyList	50
object.gotoObject	30
object.isIncapacitated	50
object.isProxy	50
object.listVolumeContainer	50
object.loadContents	50
object.move	10
object.moveToMe	10
object.persist	40
object.planetWarp	10
object.reloadServerTemplate	50
object.removeLocationTarget	50
object.removeTriggerVolume	50
object.renamePlayer	30
object.rotate	40
object.scaleMovement	30
object.scaleSize	30
object.setName	30
object.snap	30
object.spawn	30
object.stopWatching	50
object.triggerVolumes	50
object.watch	40
object.watchAIPath	50
object.watchPathMap	50
object.unstick	30
object.attribs	50
object.enqueueCommand	50
object.hide	30
object.getAttributes	40
object.createPathNodes	50
object.destroyPathNodes	50
object.reloadPathNodes	50
object.setPathLinkDistance	50
object.markCityEntrance	50
object.unmarkCityEntrance	50
object.setOwner	50
object.getOwner	50
object.askConsent	50
object.debugFar	50
object.buildingObserve	50
object.addJediSlot	50
object.makeSpectral	50
object.getHibernating	50
object.getBehavior	50
object.getStandingOn	50
object.getBattlefieldMarkerRegionName	50
object.setBattlefieldMarkerRegionName	50
object.unload	40
object.moveToPlayerAndUnload	40
object.restoreHouse	30
object.restoreCharacter	30
object.deletePersistedContents	40
object.moveHouseItemToMe	40
object.reinitializevendor	40
object.setAdminTitle	30
object.undelete	30
npc.hail	50
npc.goodbye	50
npc.respond	50
bank.balance	30
bank.bankTransfer	40
bank.cashTransfer	40
bank.deposit	40
bank.namedTransfer	50
bank.withdraw	50
manufacture.addIngredient	40
manufacture.removeIngredient	40
manufacture.listIngredients	40
manufacture.addSchematic	40
manufacture.removeSchematic	40
manufacture.listSchematic	40
manufacture.start	40
manufacture.stop	40
manufacture.getObjects	40
manufacture.listObjects	40
default.serverhelp	50
craft.draft	50
craft.fillslot	50
craft.nextstage	50
craft.experiment	50
craft.customize	50
craft.makeprototype	50
craft.makeschematic	50
craft.stop	50
craft.enableSchematicFilter	50
craft.disableSchematicFilter	50
