item	cash	token28	limit
s[none]	i[0]	i[0]	i[0]
item_publish_gift_update_14_comlink			
meatlump_reward_rock_chair_02_01		15	
item_ascd_token_01	200000		
item_publish_gift_33_picture_01_01	250000		
item_publish_gift_29_generic_04_01	250000		
item_gcw_base_reactive_heal_a_03_01	1000000		
item_gcw_recruitment_letter_01_01	1000000		
item_holopet_emitter_01_01	10000000		
item_holopet_data_cube_gift_01_01	5000000	5	
item_publish_gift_magic_control_object_03_01	500000	5	
item_publish_gift_38_04_01	2000000		
item_tcg_loot_reward_series1_mechno_chair	750000		
item_tcg_loot_reward_series1_chon_bust	1000000		
item_housepack_emperor_desk_lamp_01_01	1000000		
item_tcg_loot_reward_series1_indoor_fountain_02	1000000		
item_tcg_loot_reward_series1_indoor_garden_02	1000000		
item_tcg_loot_reward_series6_house_lamp	1000000		
item_housepack_emperor_chair_01_01	1250000		
item_housepack_emperor_desk_01_01	1500000		
item_tcg_loot_reward_series1_display_case_01	2000000		
item_tcg_loot_reward_series6_dewback_armor	15000000		
item_deed_walker_06_02	20000000		
item_tcg_loot_reward_series8_c3po_backpack	25000000		
item_tow_schematic_vehicle_02_02	25000000		
item_tcg_loot_reward_series5_armored_varactyl_statue	30000000		
item_tcg_loot_reward_series7_deed_commando_bunker	50000000		
item_tcg_loot_reward_series1_diner	50000000		
item_tcg_loot_reward_series4_relaxation_pool_deed_02_01	50000000		
item_tcg_loot_reward_series3_sith_meditation_room_deed	50000000		
item_tcg_loot_reward_series1_diner_package	60000000		
item_tcg_loot_reward_series1_organa_speeder		25	
item_tcg_loot_reward_series5_xj6_air_speeder		35	
weapon_tow_rifle_heat_cannon_04_01		2000	
object/tangible/painting/painting_armor_blueprint.iff	100000	5	
object/tangible/painting/painting_bioengineer_orange.iff	100000	5	
object/tangible/painting/painting_bw_stormtrooper.iff	100000	5	
object/tangible/painting/painting_cargoport.iff	100000	5	
object/tangible/painting/painting_dance_party.iff	100000	5	
object/tangible/painting/painting_trandoshan_wanted.iff	100000	2	
object/tangible/painting/painting_vader_victory.iff	100000	2	
object/tangible/painting/painting_freedom.iff	100000	5	
item_tcg_loot_reward_series5_skywalker_statuette_02_01		100	
item_tcg_loot_reward_series3_emperor_palpatine_statuette		100	
item_fannypack_04_07		5000	
item_fannypack_04_08		5000	
item_fannypack_04_09		5000	
item_fannypack_04_10		5000	
item_ascd_shield_01	100000		
item_ascd_trader_01	100000		
item_ascd_space_assembly_01	50000		
item_ascd_space_extra_01	50000		
item_tcg_loot_reward_series3_podracer_longtail		100	
weapon_knuckler_ent_01_04		1000	
item_publish_gift_ascd_01_02	50000000	500	
