item	cash	token0	limit	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	s	c
item_event_dance_party_device_03_01	10000					Party Device
item_event_dance_party_device_03_02	10000					Party Device
item_event_energy_drink_01_02	4500					
item_event_air_cake_01_02	4500					
item_event_halloween_bat_pheromone_01_01	1000					
item_event_halloween_spider_pheromone_01_01	1000					
item_ponda_halloween_hand	10000					
item_event_imperial_cookies_01_01	2500					
item_event_imperial_chocolate_01_01	2000					
item_event_air_cake_01_03	1500					
item_event_energy_drink_01_03	1500					
item_event_rebel_candy_01_01	2500					
item_event_rebel_drink_01_01	2000					
item_costume_kit	900					
item_costume_kit_holiday	25000					
item_event_loveday_ewok_cupid_costume	1000000					
item_costume_jawa	1000000					
item_costume_gungan	1000000					
item_costume_ewok	1000000					
item_costume_gamorrean_guard	1000000					
item_costume_battle_droid	1000000					
item_costume_droideka	1000000					
item_costume_monkey_lizard	1000000					
item_costume_toydarian	1000000					
costume_4lom	1000000					
costume_dantari_m	1000000					
costume_dantari_f	1000000					
costume_muftak	1000000					
costume_royal_guard	1000000					
costume_droid_8t88	1000000					
costume_darktrooper_3	1000000					
costume_mustafarian_01	1000000					
costume_chevin	1000000					
costume_ig106	1000000					
costume_super_battle_droid	1000000					
costume_spider_droid	1000000					
item_costume_undead_wookie	1000000					
item_costume_burning_ewok	1000000					
item_costume_chiss_01	1000000					
item_costume_exar_kun_cultist	1000000					
item_lifeday_costume_lifeday_monkeylizard	1000000					
item_axkva_min_costume	1000000					
item_blackwing_rancor_costume	1000000					
item_dug_costume	1000000					
item_esb_boba_fett_costume	1000000					
item_esb_darth_vader_costume	1000000					
item_esb_han_solo_costume	1000000					
item_esb_lando_costume	1000000					
item_esb_leia_costume	1000000					
item_esb_luke_costume	1000000					
item_esb_yoda_costume	1000000					
item_geonosian_costume	1000000					
item_costume_hutt_female	1000000					
item_meatlump_king_costume	1000000					
item_mutant_rancor_costume	1000000					
item_mynock_costume	1000000					
item_rancor_costume	1000000					
item_seven_obi_wan_ghost_costume	1000000					
item_skeleton_costume	1000000					
item_tauntaun_costume	1000000					
item_tusken_king_costume	1000000					
item_ugnaught_costume	1000000					
item_wampa_costume	1000000					
item_zozpheratu_costume	1000000					
