item	cash	resourceAmount	class	script	note
s[none]	i[0]	i[0]	i[0]	s	c
item_kommerken_steak_schematic_01		65			
item_armor_recolor_kit_schematic_01		65			
item_war_intel_datapad_01		65			
item_meatlump_buff_device_safe_01		2			
item_meatlump_buff_device_container_01		2			
item_meatlump_buff_device_map_01		2			
item_meatlump_buff_device_weapon_01		2			
item_meatlump_buff_device_food_01		2			
item_meatlump_buff_device_bomb_01		2			
item_tcg_loot_reward_series7_gold_cape		50			
item_tcg_loot_reward_series4_chandrilan_dress_02_01		50			
item_tcg_loot_reward_series1_display_case_02		100			
item_tcg_loot_reward_series1_podracer_gasgano		200			
item_tcg_loot_reward_series6_ric_920_speeder		200			
item_ascd_token_01		10			
