level1	level2	level3	level4	level5	level6	level7	level8	level9	level10
s	s	s	s	s	s	s	s	s	s
object/tangible/ship/components/shield_generator/shd_shd_moncal_ionweb_prototype_b.iff	object/tangible/ship/components/shield_generator/shd_shd_moncal_ionweb_prototype_b.iff	object/tangible/ship/components/shield_generator/shd_shd_moncal_ionweb_prototype_b.iff	object/tangible/ship/components/shield_generator/shd_shd_moncal_ionweb_prototype_b.iff	object/tangible/ship/components/shield_generator/shd_shd_moncal_ionweb_prototype_b.iff	object/tangible/ship/components/shield_generator/shd_shd_moncal_ionweb_prototype_b.iff	object/tangible/ship/components/shield_generator/shd_shd_moncal_ionweb_prototype_b.iff	object/tangible/ship/components/shield_generator/shd_shd_moncal_ionweb_prototype_b.iff	object/tangible/ship/components/shield_generator/shd_shd_moncal_ionweb_prototype_b.iff	object/tangible/ship/components/shield_generator/shd_shd_moncal_ionweb_prototype_b.iff
object/tangible/ship/components/shield_generator/shd_taim_torton.iff	object/tangible/ship/components/shield_generator/shd_taim_torton.iff	object/tangible/ship/components/shield_generator/shd_taim_torton.iff	object/tangible/ship/components/shield_generator/shd_taim_torton.iff	object/tangible/ship/components/shield_generator/shd_taim_torton.iff	object/tangible/ship/components/shield_generator/shd_taim_torton.iff	object/tangible/ship/components/shield_generator/shd_taim_torton.iff	object/tangible/ship/components/shield_generator/shd_taim_torton.iff	object/tangible/ship/components/shield_generator/shd_taim_torton.iff	object/tangible/ship/components/shield_generator/shd_taim_torton.iff
object/tangible/ship/components/shield_generator/shd_protecto_net.iff	object/tangible/ship/components/shield_generator/shd_protecto_net.iff	object/tangible/ship/components/shield_generator/shd_protecto_net.iff	object/tangible/ship/components/shield_generator/shd_protecto_net.iff	object/tangible/ship/components/shield_generator/shd_protecto_net.iff	object/tangible/ship/components/shield_generator/shd_protecto_net.iff	object/tangible/ship/components/shield_generator/shd_protecto_net.iff	object/tangible/ship/components/shield_generator/shd_protecto_net.iff	object/tangible/ship/components/shield_generator/shd_protecto_net.iff	object/tangible/ship/components/shield_generator/shd_protecto_net.iff
object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_cygnus_holoscreen.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_cygnus_holoscreen.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_cygnus_holoscreen.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_cygnus_holoscreen.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_cygnus_holoscreen.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_cygnus_holoscreen.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_cygnus_holoscreen.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_cygnus_holoscreen.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_cygnus_holoscreen.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_cygnus_holoscreen.iff
object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_rendili_dual_projector.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_rendili_dual_projector.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_rendili_dual_projector.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_rendili_dual_projector.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_rendili_dual_projector.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_rendili_dual_projector.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_rendili_dual_projector.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_rendili_dual_projector.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_rendili_dual_projector.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_imperial_rendili_dual_projector.iff
object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_armek_plasma_web.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_armek_plasma_web.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_armek_plasma_web.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_armek_plasma_web.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_armek_plasma_web.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_armek_plasma_web.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_armek_plasma_web.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_armek_plasma_web.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_armek_plasma_web.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_armek_plasma_web.iff
object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_koensayr_ds23.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_koensayr_ds23.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_koensayr_ds23.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_koensayr_ds23.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_koensayr_ds23.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_koensayr_ds23.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_koensayr_ds23.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_koensayr_ds23.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_koensayr_ds23.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_neutral_koensayr_ds23.iff
object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_incom_k77.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_incom_k77.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_incom_k77.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_incom_k77.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_incom_k77.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_incom_k77.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_incom_k77.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_incom_k77.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_incom_k77.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_incom_k77.iff
object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_taim_military_grade.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_taim_military_grade.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_taim_military_grade.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_taim_military_grade.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_taim_military_grade.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_taim_military_grade.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_taim_military_grade.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_taim_military_grade.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_taim_military_grade.iff	object/tangible/ship/components/shield_generator/shd_mission_reward_rebel_taim_military_grade.iff
