item	token25	limit	note
s	i	i[0]	c
object/tangible/veteran_reward/harvester.iff	30		Self Powered Harvester Deed
object/tangible/veteran_reward/data_terminal_s1.iff	10		Holonet Terminal
object/tangible/veteran_reward/data_terminal_s2.iff	10		Translator Terminal
object/tangible/veteran_reward/data_terminal_s3.iff	10		Control Array
object/tangible/veteran_reward/data_terminal_s4.iff	10		Holonet Tracking Console
object/tangible/veteran_reward/frn_vet_protocol_droid_toy.iff	20		Protocol Droid Minature Replica
object/tangible/veteran_reward/frn_vet_r2_toy.iff	20		R2 Droid Miniature Replica
object/tangible/veteran_reward/resource.iff	30		A Crate of Free Resources
object/tangible/veteran_reward/frn_couch_falcon_corner_s01.iff	15		YT-1300 Passenger Lounge
object/tangible/veteran_reward/frn_couch_falcon_section_s01.iff	15		YT-1300 Modular Seating
object/tangible/veteran_reward/frn_vet_tie_fighter_toy.iff	20		TIE Fighter Miniature Replica
object/tangible/veteran_reward/frn_vet_x_wing_toy.iff	20		X-wing Miniature Replica
object/tangible/veteran_reward/frn_vet_display_stand.iff	20		Figurine Display Stand
object/tangible/veteran_reward/frn_vet_houseplant.iff	30		Houseplant
object/tangible/veteran_reward/frn_tech_console_sectional_a.iff	20		Database Input Terminal
object/tangible/veteran_reward/frn_tech_console_sectional_b.iff	20		System Readout Terminal
object/tangible/veteran_reward/frn_tech_console_sectional_c.iff	20		Main Systems Databank
object/tangible/veteran_reward/frn_tech_console_sectional_d.iff	20		Holonet Databank
object/tangible/veteran_reward/frn_vet_jabba_toy.iff	20		Jabba the Hutt Miniature Replica
object/tangible/veteran_reward/frn_vet_stormtrooper_toy.iff	20		Stormtrooper Minature Replica
object/tangible/veteran_reward/frn_vet_holo_imperial_guard.iff	30		Imperial Guard Hologram
object/tangible/veteran_reward/frn_vet_cu_pa_toy.iff	20		Cu-pa Miniature Replica
object/tangible/veteran_reward/frn_vet_rug_imperial.iff	30		Imperial House Rug
object/tangible/veteran_reward/frn_vet_rug_rebel.iff	30		Rebel House Rug
object/tangible/veteran_reward/frn_vet_holo_starfighter.iff	30		Jedi Starfigher Hologram
object/tangible/veteran_reward/frn_vet_holo_sandcrawler.iff	15		Sand Crawler Hologram
object/tangible/veteran_reward/frn_vet_holo_deathstar.iff	15		Death Star Hologram
object/tangible/veteran_reward/frn_vet_fireplace.iff	15		A Fireplace
object/tangible/veteran_reward/frn_vet_holo_leia.iff	15		Princess Leia Hologram
object/tangible/veteran_reward/frn_vet_dewback_toy.iff	10		Dewback Miniature Replica
object/tangible/veteran_reward/frn_vet_holo_yoda.iff	15		Yoda Hologram
object/tangible/veteran_reward/frn_vet_emp_chair.iff	15		Emperor's Chair
object/tangible/veteran_reward/frn_vet_holo_jawa.iff	15		Jawa Hologram
object/tangible/veteran_reward/frn_vet_rancor_toy.iff	10		Rancor Miniature Replica
object/tangible/veteran_reward/frn_vet_boba_toy.iff	15		Boba Fett Figurine
object/tangible/veteran_reward/frn_vet_atat_toy.iff	10		AT-AT Miniature Replica
object/tangible/veteran_reward/frn_vet_holo_luke_skywalker.iff	15		Luke Skywalker Hologram
object/tangible/veteran_reward/frn_vet_holo_darth_vader.iff	15		Darth Vader Hologram
object/tangible/veteran_reward/frn_vet_salacious_crumb_toy.iff	10		Miniature Salacious Crumb Replica
object/tangible/veteran_reward/frn_vet_tusken_raider_toy.iff	10		Miniature Tusken Raider Replica
object/tangible/veteran_reward/vr_mynock_deed.iff	25		Mynock Familiar
object/tangible/veteran_reward/vr_gacklebat_deed.iff	25		Gackle Bat Familiar
object/tangible/veteran_reward/vr_mouse_droid_deed.iff	25		Mouse Droid Familiar
object/tangible/veteran_reward/frn_vet_carbonite_geonosian.iff	20		Geonosian in Carbonite
object/tangible/veteran_reward/frn_vet_carbonite_gungan.iff	20		Gungan in Carbonite
object/tangible/veteran_reward/frn_vet_carbonite_ugnaught.iff	20		Ugnaught in Carbonite
object/tangible/veteran_reward/city_flag_kit.iff	30		City Banner Kit
object/tangible/veteran_reward/frn_vet_podracer_statue.iff	30		Podracer Statue
object/tangible/veteran_reward/frn_yoda_fountain.iff	40		Remembrance Day Yoda Fountain
object/tangible/veteran_reward/frn_vet_palpatine_statue.iff	40		Empire Day Emperor's Statue
item_vet_homing_beacon_03_01	60		Homing Beacon
item_deed_hover_chair_06_01	60		Hover Chair
item_vet_66_month_jedi_temple	20		Life - Jedi Temple Miniature
item_vet_66_month_jedi_temple_burning	20		Death - Destroyed Jedi Temple Miniature
item_vet_reward_greeter_gamorrean	50		Gamorrean Greeter
item_vet_reward_72month_darth_maul	90		Darth Maul Statue
item_vet_reward_72month_mace_windu	90		Mace Windu Statue
item_vet_reward_75month_houseplant_02	40		Exotic Plant
item_vet_reward_78month_ttgm_itt	80		Flight of the Veteran
item_vet_reward_lockout_remover	80		Neural Recon Network Terminal
item_vet_reward_sd_console_01	60		Star Destroyer Console Row
item_vet_reward_sd_console_02	60		Star Destroyer System Console
item_respec_token_01_01	100		Character Respect Device
vet_reward_respec_reset	100		Respec Reset Device
item_tcg_loot_reward_series1_housecleaning_kit	50	12	Housecleaning Kit
item_tcg_loot_reward_series1_computer_console_02	60		Computer Console with Seating
item_tcg_loot_reward_series8_bespin_city	90		The Heights of Cloud City Diorama
item_tcg_loot_reward_series7_build04_broken_ball_turret	100		Broken Ball Turret
item_tcg_loot_reward_series7_build03_gunship_blueprint	100		Gunship Blueprint
item_tcg_loot_reward_series7_build01_tie_canopy	100		TIE Canopy
item_tcg_loot_reward_series7_build02_xwing_wing	100		X-Wing Wing
item_tcg_loot_reward_series3_koro2_exodrive_airspeeder	100		Koro-2 Exodrive Airspeeder
item_tcg_loot_reward_series6_lando_statuette	100		Lando Statuette
object/tangible/veteran_reward/vr_bearded_jax_deed.iff	200		Bearded Jax Familiar
object/tangible/veteran_reward/vr_nightspider_deed.iff	200		Nightspider Familiar
item_tcg_loot_reward_series4_senate_pod_02_01	50		Vehicle Deed: Senate Pod
item_ascd_token_01	15		Ascendancy Token
item_deed_pod_racer_06_01	100		Gasgano Podracer Deed
item_deed_pod_racer_06_02	100		Mawhonical Podracer Deed
item_tcg_loot_reward_series1_lepese_dictionary	20		Lepese Dictionary
vet_reward_resource_crate	50	12	Resource Supply Generator
