item	token20	token21	token22	token23	token24	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	c
item_crystal_allyas_exile_01	30	30	30	30	30	Allya's Exile
item_schematic_wod_ns_boots_01		15		10		Schematic: Nightsister Dyed Foot Wraps
item_schematic_wod_ns_dress_01		15		10		Schematic: Nightsister Vibrant Dread Shroud
item_schematic_wod_ns_pants_01		15		10		Schematic: Nightsister Pestilence Leggings
item_schematic_wod_ns_pants_02		15		10		Schematic: Nightsister Scourge Leggings
item_schematic_wod_ns_shirt_01		15		10		Schematic: Nightsister Gruesome Wrap
item_schematic_wod_ns_shirt_02		15		10		Schematic: Nightsister Battle Mantle
item_schematic_wod_ns_shirt_03		15		10		Schematic: Nightsister Havoc Habit
item_schematic_wod_ns_hat_01		15	10	10		Schematic: Nightsister Aerie Stalker Hood
item_schematic_wod_ns_hat_03		15	10	10		Schematic: Nightsister Tarnished Shroud
item_wod_health_stim_01_01		10			15	Healing Salve
item_wod_detect_hiden_01_01	10				15	Bloom Fruit
item_wod_purge_debuff_01_01			10		15	Nnar Root
item_wod_burst_run_01_01				10	15	Doll Gourd
item_schematic_wod_witch_banner_s01		15	10	10		Schematic: Hanging Banner: The Maiden
item_schematic_wod_witch_banner_s02		15	10	10		Schematic: Hanging Banner: The Mother
item_schematic_wod_witch_banner_s03		15	10	10		Schematic: Hanging Banner: The Crone
item_schematic_wod_tower	15		15		15	Schematic: Nightsisters Tower
item_schematic_wod_ns_gate	15	15	40	15	10	Schematic: Nightsister-style Gate
item_wod_2h_sword	15	15	40	15	10	Two Handed Athame
item_wod_1h_scyth	15	15	40	15	10	One Handed Boline
item_wod_polearm	15	15	40	15	10	Twin-Bladed Glaive
item_schematic_wod_crafting_interface	15	15	15	15	10	Schematic: Crafting Scanner Interface
item_painting_wod_ns_01		10		10		Nightsister Tapestry
item_painting_wod_ns_02		10		10		Nightsister Tapestry
item_schematic_wod_ns_hut	30	30	30	30	30	Schematic: Nightsister-style Hut
item_wod_sm_hanging_sign_01	15	15	15	15	15	Witches of Dathomir Sign (Hanging)
item_wod_sm_standing_sign_01	15	15	15	15	15	Witches of Dathomir Sign (Standing)
item_wod_mystical_orb_01	15	15	15	15	15	Mystical Orb
item_wod_mystical_glowing_orb_01	25	25	25	25	25	Mystical Glowing Orb
item_tcg_loot_reward_series5_nightsister_backpack	50	50	50	50	50	Nightsister Feather Backpack
item_ascd_token_01	10	10	10	10	10	Ascendancy Token
