item	token20	token21	token22	token23	token24	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	c
item_crystal_allyas_redemption_01	30	30	30	30	30	Allya's Redemption
item_schematic_wod_sm_boots_01		15		10		Schematic: Singing Mountain Clan Journey Boots
item_schematic_wod_sm_shirt_01		15		10		Schematic: Singing Mountain Clan Dawn Wrap
item_schematic_wod_sm_shirt_02		15		10		Schematic: Singing Mountain Clan Striker Shroud
item_schematic_wod_sm_shirt_03		15		10		Schematic: Singing Mountain Clan Hunters Mantle
item_schematic_wod_sm_skirt_01		15		10		Schematic: Singing Mountain Clan Maidens Skirt
item_schematic_wod_sm_skirt_02		15		10		Schematic: Singing Mountain Clan Shredder Skirt
item_schematic_wod_sm_skirt_03		15		10		Schematic: Singing Mountain Clan Twisted Skirt
item_schematic_wod_sm_hat_01		15	10	10		Schematic: Singing Mountain Clan Soul Guard
item_schematic_wod_sm_hat_02		15	10	10		Schematic: Singing Mountain Clan Frenzy Headcover
item_wod_health_stim_01_01		10			15	Healing Salve
item_wod_detect_hiden_01_01	10				15	Bloom Fruit
item_wod_purge_debuff_01_01			10		15	Nnar Root
item_wod_burst_run_01_01				10	15	Doll Gourd
item_schematic_wod_witch_banner_s01		15	10	10		Schematic: Hanging Banner: The Maiden
item_schematic_wod_witch_banner_s02		15	10	10		Schematic: Hanging Banner: The Mother
item_schematic_wod_witch_banner_s03		15	10	10		Schematic: Hanging Banner: The Crone
item_schematic_wod_floating_stones_city	15		15		15	Schematic: Singing Mountain Floating Stones
item_schematic_wod_trilithon	15	15	40	15	10	Schematic: Singing Mountain Trilithon
item_wod_2h_sword	15	15	40	15	10	Two Handed Athame
item_wod_1h_scyth	15	15	40	15	10	One Handed Boline
item_wod_polearm	15	15	40	15	10	Twin-Bladed Glaive
item_schematic_wod_crafting_interface	15	15	15	15	10	Schematic: Crafting Scanner Interface
item_painting_wod_sm_01		10		10		Singing Mountain Clan Tapestry
item_painting_wod_sm_02		10		10		Singing Mountain Clan Tapestry
item_schematic_wod_sm_hut	30	30	30	30	30	Schematic: Singing Mountain-style Hut
item_wod_sm_hanging_sign_01	15	15	15	15	15	Witches of Dathomir Sign (Hanging)
item_wod_sm_standing_sign_01	15	15	15	15	15	Witches of Dathomir Sign (Standing)
item_wod_mystical_orb_01	15	15	15	15	15	Mystical Orb
item_wod_mystical_glowing_orb_01	25	25	25	25	25	Mystical Glowing Orb
item_backpack_singing_mountain_clan_01_01	50	50	50	50	50	Singing Mountain Clan Backpack
item_ascd_token_01	10	10	10	10	10	Ascendancy Token
