common	uncommon	rare
s	s	s
object/tangible/loot/collectible/collectible_parts/orange_rug_thread_01.iff	object/tangible/loot/collectible/collectible_parts/orange_rug_dye.iff	object/tangible/loot/collectible/collectible_parts/orange_rug_adhesive.iff
object/tangible/loot/collectible/collectible_parts/orange_rug_thread_02.iff	object/tangible/loot/collectible/collectible_parts/orange_rug_patches.iff	object/tangible/loot/collectible/collectible_parts/blue_rug_adhesive.iff
object/tangible/loot/collectible/collectible_parts/orange_rug_thread_03.iff	object/tangible/loot/collectible/collectible_parts/blue_rug_dye.iff	object/tangible/loot/collectible/collectible_parts/gong_adhesive.iff
object/tangible/loot/collectible/collectible_parts/orange_rug_thread_04.iff	object/tangible/loot/collectible/collectible_parts/blue_rug_patches.iff	object/tangible/loot/collectible/collectible_parts/light_table_adhesive.iff
object/tangible/loot/collectible/collectible_parts/orange_rug_thread_05.iff	object/tangible/loot/collectible/collectible_parts/gong_skin_front.iff	object/tangible/loot/collectible/collectible_parts/sculpture_adhesive.iff
object/tangible/loot/collectible/collectible_parts/orange_rug_thread_06.iff	object/tangible/loot/collectible/collectible_parts/gong_skin_back.iff	item_wod_token_1
object/tangible/loot/collectible/collectible_parts/orange_rug_thread_07.iff	object/tangible/loot/collectible/collectible_parts/light_table_glasstop_01.iff	item_wod_token_2
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_01.iff	object/tangible/loot/collectible/collectible_parts/light_table_glasstop_02.iff	item_wod_token_3
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_02.iff	object/tangible/loot/collectible/collectible_parts/sculpture_goldinlay_01.iff	item_wod_token_4
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_03.iff	object/tangible/loot/collectible/collectible_parts/sculpture_goldinlay_02.iff	item_wod_token_5
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_04.iff	item_ascd_token_01	item_ascd_token_01
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_05.iff		vet_reward_resource_crate_01
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_06.iff		
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_07.iff		
object/tangible/loot/collectible/collectible_parts/gong_structure_01.iff		
object/tangible/loot/collectible/collectible_parts/gong_structure_02.iff		
object/tangible/loot/collectible/collectible_parts/gong_structure_03.iff		
object/tangible/loot/collectible/collectible_parts/gong_structure_04.iff		
object/tangible/loot/collectible/collectible_parts/gong_structure_05.iff		
object/tangible/loot/collectible/collectible_parts/gong_structure_06.iff		
object/tangible/loot/collectible/collectible_parts/gong_structure_07.iff		
object/tangible/loot/collectible/collectible_parts/light_table_structure_01.iff		
object/tangible/loot/collectible/collectible_parts/light_table_structure_02.iff		
object/tangible/loot/collectible/collectible_parts/light_table_structure_03.iff		
object/tangible/loot/collectible/collectible_parts/light_table_structure_04.iff		
object/tangible/loot/collectible/collectible_parts/light_table_structure_05.iff		
object/tangible/loot/collectible/collectible_parts/light_table_structure_06.iff		
object/tangible/loot/collectible/collectible_parts/light_table_structure_07.iff		
object/tangible/loot/collectible/collectible_parts/sculpture_structure_01.iff		
object/tangible/loot/collectible/collectible_parts/sculpture_structure_02.iff		
object/tangible/loot/collectible/collectible_parts/sculpture_structure_03.iff		
object/tangible/loot/collectible/collectible_parts/sculpture_structure_04.iff		
object/tangible/loot/collectible/collectible_parts/sculpture_structure_05.iff		
object/tangible/loot/collectible/collectible_parts/sculpture_structure_06.iff		
object/tangible/loot/collectible/collectible_parts/sculpture_structure_07.iff		
item_ascd_token_01		
