tusken	ig88	axkva	sd_boss	sd_sub_1	sd_sub_2	sd_sub_3	exar_open_hand	exar_minder	exar_caretaker	exar_hate_fist	exar_exar_kun	echo_base_soldier_junk	echo_base_wampa_junk	echo_base_tauntaun_junk	echo_base_wampa_berserker	echo_base_generic_soldier	echo_base_rebel_soldier	echo_base_imperial_soldier	echo_base_sharpshooter	echo_base_wampa_boss	world_boss	jedi_trial	city_junk	heroic_spawn	fetts_follower	lifeday_special	axkva_suin	axkva_lelli	axkva_kimaru	ascendant_sith	world_boss_weak	world_boss_junk	halloween_boss	ewok_boss	mandalorian_clans
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
item_heroic_schematic_elite_gaffi_stick_01_01	item_heroic_ig_88_head_01_01	item_heroic_schematic_nightsister_hat_01_01	item_heroic_schematic_backpack_01_07	item_heroic_destroyer_cooling_coil	item_heroic_destroyer_cooling_coil	item_heroic_destroyer_cooling_coil	st_pr_exar_kun_table	st_pr_exar_kun_torch_01	schematic_exar_kun_torture_table_02_01	schematic_exar_kun_table_02_01	item_heroic_exar_kun_fresco_02_01	heroic_echo_at_at_junk_02_01	heroic_echo_wampa_junk_02_01	heroic_echo_tauntaun_junk_02_01	st_cn_hoth_wampa	st_pr_hoth_cable_box_01	st_cn_hoth_rebel_snow_trooper	st_cn_hoth_imperial_snowtrooper	weapon_a280_blaster_rifle	st_cn_hoth_wampa	item_tcg_loot_reward_series5_lcd_screen	item_power_crystal_04_21	item_junk_npc_6thru10_01_03	item_heroic_random_ring_01_01	item_tcg_loot_reward_series3_mandalorian_skull_banner	item_heroic_exar_excavation_toolchest_02_01	item_heroic_schematic_nightsister_hat_01_01	item_heroic_schematic_nightsister_hat_01_01	item_heroic_schematic_nightsister_hat_01_01	st_pr_exar_kun_torch_01	item_power_crystal_04_21	item_treasure_map_81_90	halloween_event_reward_01	item_costume_burning_ewok	item_black_market_token_01
item_heroic_schematic_elite_gaffi_stick_01_01	item_heroic_ig_88_head_01_01	item_heroic_schematic_nightsister_hat_01_01	item_heroic_schematic_backpack_01_07	item_heroic_destroyer_power_transformer	item_heroic_destroyer_power_transformer	item_heroic_destroyer_power_transformer	st_pr_exar_kun_table	st_pr_exar_kun_torch_01	schematic_exar_kun_torture_table_02_01	schematic_exar_kun_table_02_01	item_heroic_exar_kun_fresco_02_01	heroic_echo_at_at_junk_02_02	heroic_echo_wampa_junk_02_02	heroic_echo_tauntaun_junk_02_02	st_cn_hoth_wampa	st_pr_hoth_cable_box_02	st_cn_hoth_rebel_snow_trooper	st_cn_hoth_imperial_snowtrooper	weapon_eweb_blaster_rifle	st_cn_hoth_wampa	item_tcg_loot_reward_series7_armored_backpack		item_junk_npc_6thru10_01_05	item_heroic_random_ring_01_02	item_tcg_loot_reward_series3_merr_sonn_jt12_jetpack_blueprints	item_heroic_tusken_disabled_beacon_02_01	item_heroic_schematic_nightsister_hat_01_01	item_heroic_schematic_nightsister_hat_01_01	item_heroic_schematic_nightsister_hat_01_01	st_pr_exar_kun_table	item_color_crystal_02_27	item_treasure_map_81_90		item_holopet_ewok_data_cube_01_01	
item_heroic_schematic_elite_tusken_rifle_01_01	item_heroic_schematic_saber_03_01	item_heroic_schematic_saber_03_01	item_heroic_schematic_backpack_01_08	item_heroic_destroyer_solar_console	item_heroic_destroyer_solar_console	item_heroic_destroyer_solar_console	st_pr_exar_kun_table	st_pr_exar_kun_torch_01	schematic_exar_kun_torture_table_02_01	schematic_exar_kun_table_02_01	schematic_exar_kun_carbine_massassi_02_01	heroic_echo_at_at_junk_02_03	heroic_echo_wampa_junk_02_03	heroic_echo_tauntaun_junk_02_03	st_cn_hoth_wampa	st_pr_hoth_cable_box_03	st_cn_hoth_rebel_snow_trooper	st_cn_hoth_imperial_snowtrooper	st_cn_hoth_imperial_atst	st_cn_hoth_wampa	item_tcg_loot_reward_series6_cloud_city_hologram		item_junk_npc_1thru5_01_03	item_heroic_random_ring_01_03	item_tcg_loot_reward_series3_jango_fett_memorial_statue	heroic_echo_tauntaun_junk_02_03	item_tcg_loot_reward_series4_falleens_fist_02_01	item_tcg_loot_reward_series4_falleens_fist_02_01	item_tcg_loot_reward_series4_falleens_fist_02_01	schematic_exar_kun_torture_table_02_01	item_beast_holocron_04_10	item_treasure_map_81_90		item_ascd_token_box_01_01	
item_heroic_schematic_elite_tusken_rifle_01_01	item_heroic_schematic_saber_03_01	item_heroic_schematic_saber_03_01	item_heroic_schematic_backpack_01_08	item_heroic_destroyer_space_beacon	item_heroic_destroyer_space_beacon	item_heroic_destroyer_space_beacon	st_pr_exar_kun_column	st_pr_exar_kun_torch_02	schematic_exar_kun_2h_sword_massassi_02_01	schematic_exar_kun_brazier_02_01	schematic_exar_kun_carbine_massassi_02_01	heroic_echo_at_at_junk_02_04	heroic_echo_wampa_junk_02_04	heroic_echo_tauntaun_junk_02_04	st_cn_hoth_wampa	st_pr_hoth_crate_01	st_cn_hoth_rebel_snow_trooper	st_cn_hoth_imperial_snowtrooper	st_cn_hoth_imperial_atst	item_wampa_costume	nebulon_frigate_holo_retention		item_junk_npc_1thru5_01_04	item_heroic_random_ring_01_04	item_tcg_loot_reward_series3_boba_fett_statue	heroic_echo_snow_speeder_junk_02_03	item_limited_use_schematic_commando_ice_gun_04_01	item_limited_use_schematic_commando_ice_gun_04_01	item_limited_use_schematic_commando_ice_gun_04_01	schematic_exar_kun_table_02_01	item_beast_holocron_04_01	item_housepack_xeno_couch_01_01		item_ascd_token_box_01_02	
item_heroic_schematic_backpack_krayt_skull_01_01	item_limited_use_schematic_commando_ice_gun_04_01	item_limited_use_schematic_commando_ice_gun_04_01	item_heroic_schematic_backpack_01_09	item_schematic_polearm_heroic_sd_01_01	item_schematic_polearm_heroic_sd_01_01	item_schematic_carbine_heroic_sd_01_01	st_pr_exar_kun_column	st_pr_exar_kun_torch_02	schematic_exar_kun_2h_sword_massassi_02_01	schematic_exar_kun_brazier_02_01	schematic_exar_kun_carbine_massassi_02_01	heroic_echo_at_at_junk_02_05	heroic_echo_wampa_junk_02_01	heroic_echo_tauntaun_junk_02_01	st_cn_hoth_wampa	st_pr_hoth_crate_02	st_cn_hoth_rebel_snow_trooper	st_cn_hoth_imperial_snowtrooper	item_tcg_loot_reward_series8_snow_speeder_familiar	item_wampa_dna	item_tcg_loot_reward_series8_vader_pod		item_junk_npc_1thru5_01_05	item_heroic_random_neck_01_03	object/tangible/loot/dungeon/death_watch_bunker/jetpack_base.iff	heroic_echo_at_at_junk_02_01	object/tangible/loot/quest/lance_nightsister_schematic.iff	object/tangible/loot/quest/lance_nightsister_schematic.iff	object/tangible/loot/quest/lance_nightsister_schematic.iff	item_heroic_exar_kun_fresco_02_01	item_beast_holocron_04_02	item_housepack_xeno_couch_01_01		item_ascd_token_box_01_03	
item_heroic_schematic_backpack_krayt_skull_01_01	item_heroic_ig88_sm_generator	object/tangible/loot/quest/lance_nightsister_schematic.iff	item_heroic_schematic_backpack_01_09	item_schematic_carbine_heroic_sd_01_01	item_schematic_carbine_heroic_sd_01_01	item_schematic_pistol_heroic_sd_01_01	st_pr_exar_kun_column_broken	st_pr_exar_kun_brazier	st_pr_exar_kun_zapper	st_cn_exar_kun_cultist	schematic_exar_kun_carbine_massassi_02_01	heroic_echo_snow_speeder_junk_02_01	heroic_echo_wampa_junk_02_02	heroic_echo_tauntaun_junk_02_02	st_cn_hoth_wampa	st_pr_hoth_crate_03	st_cn_hoth_rebel_snow_trooper	st_cn_hoth_imperial_snowtrooper	weapon_a280_blaster_rifle	hoth_wampa_snowglobe_01	item_tcg_loot_reward_series4_generic_rug_02_01		item_junk_npc_6thru10_01_02	item_heroic_random_neck_01_01	object/tangible/loot/dungeon/death_watch_bunker/binary_liquid.iff	heroic_echo_tauntaun_junk_02_01	item_heroic_axkva_min_claw	item_heroic_axkva_min_claw	item_heroic_axkva_min_claw	st_pr_exar_kun_column	item_beast_holocron_04_03	item_housepack_xeno_desk_lamp_01_01		item_lifeday_gift_self_02_11	
item_limited_use_schematic_commando_ice_gun_04_01	item_heroic_ig88_wall_lamp	item_heroic_axkva_min_claw	item_heroic_destroyer_cooling_coil	item_limited_use_schematic_commando_ice_gun_04_01	item_limited_use_schematic_commando_ice_gun_04_01	item_limited_use_schematic_commando_ice_gun_04_01	item_limited_use_schematic_commando_ice_gun_04_01	st_pr_exar_kun_brazier	st_pr_exar_kun_zapper	item_limited_use_schematic_commando_ice_gun_04_01	item_limited_use_schematic_commando_ice_gun_04_01	heroic_echo_snow_speeder_junk_02_02	heroic_echo_wampa_junk_02_03	heroic_echo_tauntaun_junk_02_03	st_cn_hoth_wampa	st_pr_hoth_icicle_01	st_cn_hoth_rebel_snow_trooper	st_cn_hoth_imperial_snowtrooper	weapon_eweb_blaster_rifle	item_ascd_token_box_01_01	item_tcg_loot_reward_series8_bespin_sconce_off		item_junk_npc_11thru15_01_01	item_heroic_random_neck_01_02	object/tangible/loot/dungeon/death_watch_bunker/emulsion_protection.iff	heroic_echo_wampa_junk_02_03	item_heroic_axkva_min_claw_light	item_heroic_axkva_min_claw_light	item_heroic_axkva_min_claw_light	st_pr_exar_kun_torch_02	item_beast_holocron_04_04	item_housepack_xeno_desk_lamp_01_01		item_ascd_shield_01	
item_heroic_tusken_meat_rack	item_tcg_loot_reward_series1_morgukai_shadow_scroll	item_heroic_axkva_min_claw_light	item_heroic_destroyer_power_transformer	item_schematic_polearm_heroic_sd_01_01	item_schematic_polearm_heroic_sd_01_01	item_schematic_polearm_heroic_sd_01_01	item_heroic_exar_brazier	item_limited_use_schematic_commando_ice_gun_04_01	item_limited_use_schematic_commando_ice_gun_04_01	item_heroic_exar_brazier	item_heroic_exar_brazier	heroic_echo_snow_speeder_junk_02_03	heroic_echo_wampa_junk_02_04	heroic_echo_tauntaun_junk_02_04	st_cn_hoth_wampa	st_pr_hoth_icicle_02	st_cn_hoth_rebel_snow_trooper	st_cn_hoth_imperial_snowtrooper	st_cn_hoth_imperial_atst	item_ascd_token_box_01_02	item_tcg_loot_reward_series8_bespin_sconce_on		item_junk_npc_11thru15_01_02	item_heroic_random_neck_01_03	object/tangible/loot/dungeon/death_watch_bunker/ducted_fan.iff	herioc_echo_snow_speeder_junk_02_02	item_heroic_axkva_min_crystal_s01	item_heroic_axkva_min_crystal_s01	item_heroic_axkva_min_crystal_s01	schematic_exar_kun_2h_sword_massassi_02_01	item_beast_holocron_04_05	item_housepack_xeno_table_01_01		item_ascd_heal_01	
item_heroic_tusken_shelves	item_heroic_ig88_sm_generator	item_heroic_axkva_min_crystal_s01	item_heroic_destroyer_solar_console	item_schematic_carbine_heroic_sd_01_01	item_schematic_carbine_heroic_sd_01_01	item_schematic_carbine_heroic_sd_01_01	item_heroic_exar_claw_s01	item_heroic_exar_claw_s01	st_pr_exar_kun_torture_table	item_heroic_exar_claw_s01	item_heroic_exar_claw_s01	heroic_echo_snow_speeder_junk_02_04	heroic_echo_wampa_junk_02_01	heroic_echo_tauntaun_junk_02_01	st_cn_hoth_wampa	st_pr_hoth_icicle_03	st_cn_hoth_rebel_snow_trooper	st_cn_hoth_imperial_snowtrooper	st_cn_hoth_imperial_atst	item_ascd_token_box_01_03	item_tcg_loot_reward_series5_greeter_royal_guard		item_junk_npc_11thru15_01_03	item_heroic_random_neck_01_04	object/tangible/loot/dungeon/death_watch_bunker/jetpack_stabilizer.iff	item_junk_npc_16thru20_01_01	item_heroic_axkva_min_crystal_s02	item_heroic_axkva_min_crystal_s02	item_heroic_axkva_min_crystal_s02	schematic_exar_kun_brazier_02_01	item_housepack_xeno_couch_01_01	item_housepack_xeno_table_01_01		item_ascd_combat_01	
