strItemType	comment
s	s
object/tangible/item/quest/force_sensitive/bacta_tank.iff	A Bacta Tank
weapon_carbine_e5_legendary	A Legendary E5 Carbine
weapon_pistol_fwg5_legendary	A Legendary FWG5 Pistol
weapon_energy_lance_legendary	A Legendary Nightsister Energy Lance
weapon_2h_sword_maul_legendary	A Legendary Power Hammer
weapon_stun_baton_legendary	A Legendary Stun Baton
weapon_rifle_legendary_t21	A Legendary T21 Rifle
item_painting_rodian_f_ad_01	Advertisement (Rodian)
item_crystal_tyranus_cunning_01	Cunning of Tyranus
item_forage_worm_dna	DNA Storage Device (Forage Worm)
object/tangible/veteran_reward/one_year_anniversary/painting_10.iff	Dusk in Kachirho
item_housepack_emperor_chair_01_01	Emperor's Senate Office Chair
item_schematic_gungan_statue_s01	Gungan Statue Style 1 Schematic
item_schematic_gungan_statue_s02	Gungan Statue Style 2 Schematic
item_schematic_gungan_statue_s03	Gungan Statue Style 3 Schematic
item_schematic_gungan_statue_s04	Gungan Statue Style 4 Schematic
item_event_lifeday_holo_table	Holo-Entertainment Table
item_jedi_robe_06_01	Jedi Master Cloak (Brown)
item_jedi_robe_06_02	Jedi Master Cloak (Black)
item_tow_decor_jedi_relic_02_03	Jedi Relic
item_tow_cystal_buff_drained_05_01	Lair Crystal
item_lifeday_gift_04_09	Life Day Lamp
item_ep3_rewards_prayor_mobile	Prayer Mobile
item_tow_crystal_uber_05_01	Shard of Ferocity
item_tow_crystal_uber_05_02	Shard of Retaliation
item_schematic_ex_blaster_pistol_barrel	Schematic: Exceptional Blaster Pistol Barrel
item_schematic_ex_blaster_rifle_barrel	Schematic: Exceptional Blaster Rifle Barrel
item_schematic_ex_gas_cartridge	Schematic: Exceptional Gas Cartridge
item_schematic_ex_projectile_pistol_barrel	Schematic: Exceptional Projectile Blaster Pistol Barrel
item_schematic_ex_projectile_rifle_barrel	Schematic: Exceptional Projectile Blaster Rifle Barrel
item_schematic_ex_reinforcement_core	Schematic: Exceptional Weapon Reinforcement Core
item_power_crystal_04_21	Perfect Power Crystal
item_tcg_loot_reward_series8_r2d2_dagobah	R2-D2 on Dagobah Statue
item_tcg_loot_reward_series8_torture_table	Imperial Torture Device #15768
item_tcg_loot_reward_series8_bespin_shelves	Cloud City Shelves
item_tcg_loot_reward_series5_lcd_screen	LCD Screen
