strItemType	comment
s	s
object/tangible/veteran_reward/resource.iff	A Free Crate of Resources
item_force_crystal_04_01	Biological Focus Crystal
item_publish_gift_27_04_01	Concentrated Bacta Tank
item_dug_costume	Dug Costume Instructions
object/tangible/wearables/armor/nightsister/armor_nightsister_bicep_r_s01.iff	Nightsister Melee Armguard
object/tangible/painting/bestine_quest_painting.iff	Rare Painting
object/tangible/wearables/armor/marine/armor_marine_backpack.iff	Rebel Marine Armor Backpack
item_color_crystal_02_29	Sunrider's Destiny
item_force_crystal_04_02	Synapse Focus Crystal
item_power_crystal_04_21	Perfect Power Crystal
item_tcg_loot_reward_series6_cloud_car_itv	Twin Pod Cloud Car (ITV)
item_tcg_loot_reward_series8_glowly_sculpture	Ionized Tibanna Gas Display
item_tcg_loot_reward_series8_bespin_lamp_on	Cloud City Lamp
item_tcg_loot_reward_series7_camo_armor_kit	Camo Composite Armor Kit
item_tow_schematic_vehicle_02_01	Lava Skiff Deed
item_housepack_emperor_desk_01_01	Emperor’s Senate Office Desk
item_tow_holocron_ab_immune_02_01	Sith Holocron
item_tow_decor_sith_relic_02_01	Sith Relic
item_color_crystal_02_15	Ulric’s Redemption
