strItemType	comment
s	s
object/tangible/item/quest/force_sensitive/fs_village_bannerpole_s01.iff	An Aurilian Banner
object/tangible/item/quest/force_sensitive/fs_sculpture_1.iff	An Aurilian Sculpture Section 1
object/tangible/item/quest/force_sensitive/fs_sculpture_2.iff	An Aurilian Sculpture Section 2
object/tangible/item/quest/force_sensitive/fs_sculpture_3.iff	An Aurilian Sculpture Section 3
object/tangible/item/quest/force_sensitive/fs_sculpture_4.iff	An Aurilian Sculpture Section 4
object/tangible/mission/quest_item/bren_kingal_q4_needed.iff	AT-ST pilot's helmet
item_color_crystal_02_16	Bane's Heart
item_treasure_map_bar_piece_curve_s1_schematic	Bar Corner Piece 1 Schematic
item_treasure_map_bar_piece_curve_s2_schematic	Bar Corner Piece 2 Schematic
item_treasure_map_bar_piece_straight_s1_schematic	Bar Corner Piece 3 Schematic
item_treasure_map_bar_piece_straight_s2_schematic	Bar Counter Large Schematic
object/tangible/painting/painting_bothan_m.iff	Bothan Buff (Painting)
object/tangible/painting/painting_bothan_f.iff	Bothan Beauty (Painting)
item_content_bubble_tank_02_01	Decorative Bubble Tank
item_painting_droid_bright	Droid in Contrast
object/tangible/container/drum/poi_prize_box_off.iff	Drum
item_geonosian_costume	Geonosian Costume Instructions
item_lifeday_gift_04_11	Hanging Life Day Orb
item_tow_schematic_jedi_statue_02_01	Schematic: Jedi Statue
item_schematic_jubilee_wheel	Schematic: Jubilee Wheel
item_lifeday_gift_04_10	Kachirho Wall Cornucopia
item_event_lifeday_monkey_cage	Kowakian Cage
item_schematic_fruit_stand_lg	Large Fruit Stand Schematic
object/tangible/container/drum/large_plain_crate_s02.iff	Large Unmarked Crate
item_tow_decor_lava_geode_02_01	Lava Geode
item_lifeday_gift_04_09	Life Day Lamp
item_tow_decor_painting_02_04	Living Canals
item_schematic_lugjack_machine	Lugjack Machine Schematic
item_lifeday_gift_04_07	Miniature Wroshyr Tree
item_mynock_costume	Mynock Costume Instructions
item_publish_gift_update_16	Nym Collectible Globe
item_power_crystal_04_21	Perfect Power Crystal
object/tangible/painting/painting_food_baking_s02.iff	Poster of Food Preparation
item_lifeday_gift_04_02	Pilgrimage
item_event_lifeday_proton_chair	Proton Chair
item_rancor_costume	Rancor Costume Instructions
object/tangible/wearables/helmet/helmet_s06.iff	Endor Rebel Helmet
item_tow_buff_crystal_02_03	Shard of the Serpent
item_event_lifeday_stap_speeder	Vehicle Deed: STAP-1 Vehicle Deed
item_target_dummy_blacksun	Black Sun Target Dummy Controller
item_target_dummy_rebel_trooper	Rebel Target Dummy Controller
item_target_dummy_stormtrooper	Imperial Target Dummy Controller
item_lifeday_gift_04_04	Triumph
item_ugnaught_costume	Ugnaught Costume Instructions
item_wampa_costume	Wampa Costume Instuctions
item_publish_gift_37_04_01	War Terminal
item_lifeday_gift_04_11	Wookie Life Day Orb
item_lifeday_gift_04_12	Wookiee Home Banner Kit
item_housepack_xeno_couch_01_01	Xeno Couch
item_housepack_xeno_desk_01_01	Xeno Desk
item_housepack_xeno_desk_lamp_01_01	Xeno Desk Lamp
item_housepack_xeno_rug_01_01	Xeno Rug
item_housepack_xeno_table_01_01	Xeno Table
item_tow_proc_generic_03_01	Mustafarian Injector
item_tcg_loot_reward_series8_painting_vintage	Twin-Pod Cloud Car Painting
item_tcg_loot_reward_series1_naboo_jacket	Bodyguard Jacket
item_tcg_loot_reward_series7_purple_cape	Regal Purple Cape
item_tcg_loot_reward_series7_battle_worn_armor_kit	Battle Worn Composite Armor Kit
item_tcg_loot_reward_series5_trench_run_diorama	Trench Run Diorama
item_tcg_loot_reward_series1_greeter_bomarr_monk	Employment Terminal: B'omarr Monk Greeter
item_tcg_loot_reward_series8_yodas_soup	Yoda Soup Bowl Replica
item_housepack_emperor_desk_lamp_01_01	Emperor’s Senate Office Lamp
