tusken	ig88	axkva	sd_boss	sd_sub_1	sd_sub_2	sd_sub_3	exar_open_hand	exar_minder	exar_caretaker	exar_hate_fist	exar_exar_kun	exar_gackle_bat	echo_base_tauntaun_generic	echo_base_wampa_generic	echo_base_wampa_berserker	echo_base_generic_soldier	echo_base_rebel_soldier	echo_base_imperial_soldier	world_boss	jedi_trial	city_junk	heroic_spawn	fetts_follower	lifeday_special	axkva_suin	axkva_lelli	axkva_kimaru	ascendant_sith	world_boss_weak	world_boss_junk	halloween_boss	ewok_boss	mandalorian_clan
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
dungeon/heroic_drops:tusken	dungeon/heroic_drops:ig88	dungeon/heroic_drops:axkva	dungeon/heroic_drops:sd_boss	dungeon/heroic_drops:sd_sub_1	dungeon/heroic_drops:sd_sub_2	dungeon/heroic_drops:sd_sub_3	dungeon/heroic_drops:exar_open_hand	dungeon/heroic_drops:exar_minder	dungeon/heroic_drops:exar_caretaker	dungeon/heroic_drops:exar_hate_fist	dungeon/heroic_drops:exar_exar_kun	dungeon/heroic_drops:exar_gackle_bat	dungeon/heroic_drops:echo_base_tauntaun_junk	dungeon/heroic_drops:echo_base_wampa_junk	dungeon/heroic_drops:echo_base_wampa_berserker	dungeon/heroic_drops:echo_base_generic_soldier	dungeon/heroic_drops:echo_base_rebel_soldier	dungeon/heroic_drops:echo_base_imperial_soldier	dungeon/heroic_drops:world_boss	dungeon/heroic_drops:jedi_trial	dungeon/heroic_drops:city_junk	dungeon/heroic_drops:heroic_spawn	dungeon/heroic_drops:fetts_follower	dungeon/heroic_drops:lifeday_special	dungeon/heroic_drops:axkva_suin	dungeon/heroic_drops:axkva_lelli	dungeon/heroic_drops:axkva_kimaru	dungeon/heroic_drops:ascendant_sith	dungeon/heroic_drops:world_boss_weak	dungeon/heroic_drops:world_boss_junk	dungeon/heroic_drops:halloween_boss	dungeon/heroic_drops:ewok_boss	dungeon/heroic_drops:mandalorian_clans
dungeon/heroic_drops:tusken	dungeon/heroic_drops:ig88	dungeon/heroic_drops:axkva	dungeon/heroic_drops:sd_boss	dungeon/heroic_drops:sd_sub_1	dungeon/heroic_drops:sd_sub_2	dungeon/heroic_drops:sd_sub_3	dungeon/heroic_drops:exar_open_hand	dungeon/heroic_drops:exar_minder	dungeon/heroic_drops:exar_caretaker	dungeon/heroic_drops:exar_hate_fist	dungeon/heroic_drops:exar_exar_kun	dungeon/heroic_drops:exar_gackle_bat			dungeon/heroic_drops:echo_base_wampa_junk	dungeon/heroic_drops:echo_base_soldier_junk	dungeon/heroic_drops:echo_base_rebel_soldier	dungeon/heroic_drops:echo_base_imperial_soldier	dungeon/heroic_drops:world_boss		dungeon/heroic_drops:city_junk	dungeon/heroic_drops:heroic_spawn	dungeon/heroic_drops:fetts_follower	dungeon/heroic_drops:lifeday_special	dungeon/heroic_drops:axkva_suin	dungeon/heroic_drops:axkva_lelli	dungeon/heroic_drops:axkva_kimaru	dungeon/heroic_drops:ascendant_sith	dungeon/heroic_drops:world_boss_weak	dungeon/heroic_drops:world_boss_junk		dungeon/heroic_drops:ewok_boss	dungeon/heroic_drops:mandalorian_clans
dungeon/heroic_drops:tusken	dungeon/heroic_drops:ig88	dungeon/heroic_drops:axkva	dungeon/heroic_drops:sd_boss	dungeon/heroic_drops:sd_sub_1	dungeon/heroic_drops:sd_sub_2	dungeon/heroic_drops:sd_sub_3	dungeon/heroic_drops:exar_open_hand	dungeon/heroic_drops:exar_minder	dungeon/heroic_drops:exar_caretaker	dungeon/heroic_drops:exar_hate_fist	dungeon/heroic_drops:exar_exar_kun	dungeon/heroic_drops:exar_gackle_bat			dungeon/heroic_drops:echo_base_wampa_junk	dungeon/heroic_drops:echo_base_soldier_junk	dungeon/heroic_drops:echo_base_generic_soldier	dungeon/heroic_drops:echo_base_generic_soldier	dungeon/heroic_drops:world_boss		dungeon/heroic_drops:city_junk	dungeon/heroic_drops:heroic_spawn	dungeon/heroic_drops:fetts_follower	dungeon/heroic_drops:lifeday_special	dungeon/heroic_drops:axkva_suin	dungeon/heroic_drops:axkva_lelli	dungeon/heroic_drops:axkva_kimaru	dungeon/heroic_drops:ascendant_sith	dungeon/heroic_drops:world_boss_weak	dungeon/heroic_drops:world_boss_junk		dungeon/heroic_drops:ewok_boss	
crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic			dungeon/heroic_drops:echo_base_wampa_junk	dungeon/heroic_drops:echo_base_soldier_junk	dungeon/heroic_drops:echo_base_generic_soldier	dungeon/heroic_drops:echo_base_generic_soldier	dungeon/heroic_drops:world_boss			dungeon/heroic_drops:heroic_spawn			dungeon/heroic_drops:axkva_suin	dungeon/heroic_drops:axkva_lelli	dungeon/heroic_drops:axkva_kimaru	dungeon/heroic_drops:ascendant_sith	dungeon/heroic_drops:world_boss_weak	dungeon/heroic_drops:world_boss_junk		crafting_loot/weapon_components:wp_comp_heroic	
															dungeon/heroic_drops:echo_base_wampa_junk	dungeon/heroic_drops:echo_base_soldier_junk	dungeon/heroic_drops:echo_base_generic_soldier	dungeon/heroic_drops:echo_base_generic_soldier	dungeon/heroic_drops:world_boss			crafting_loot/weapon_components:wp_comp_heroic			dungeon/heroic_drops:axkva_suin	dungeon/heroic_drops:axkva_lelli	dungeon/heroic_drops:axkva_kimaru	dungeon/heroic_drops:ascendant_sith	crafting_loot/weapon_components:wp_comp_heroic	crafting_loot/weapon_components:wp_comp_heroic			
															dungeon/heroic_drops:echo_base_wampa_junk		dungeon/heroic_drops:echo_base_soldier_junk	dungeon/heroic_drops:echo_base_soldier_junk	dungeon/heroic_drops:world_boss								crafting_loot/weapon_components:wp_comp_heroic						
															dungeon/heroic_drops:echo_base_wampa_junk		dungeon/heroic_drops:echo_base_soldier_junk	dungeon/heroic_drops:echo_base_soldier_junk	crafting_loot/weapon_components:wp_comp_heroic														
																	dungeon/heroic_drops:echo_base_soldier_junk	dungeon/heroic_drops:echo_base_soldier_junk															
																	dungeon/heroic_drops:echo_base_soldier_junk	dungeon/heroic_drops:echo_base_soldier_junk															
