Object Template	Comment
s	c
object/tangible/furniture/decorative/vet_reward_emperor_painting.iff	specify the object template or static name of items that, when they have the noTrade objvar, can be
object/tangible/furniture/decorative/vet_reward_rebel_painting.iff	picked up by another character on the same account as the character who currently owns the item
object/tangible/veteran_reward/frn_vet_5_year_painting.iff	
object/tangible/veteran_reward/frn_vet_painting_community_summit_s02.iff	or alternative, individual no trade item can be set with the noTradeShared objvar to allow the ability
item_content_veh_custom_kit_02_02	only on that particular item
item_pvp_imperial_painting_03_01	
item_pvp_rebel_painting_03_01	
item_housepack_painting_imperial_01_01	
item_housepack_painting_rebel_01_01	
item_event_dance_party_device_03_01	
item_publish_gift_35_04_01	
col_reward_buddy_painting_01	
col_reward_buddy_painting_02	
col_reward_buddy_painting_03	
item_katiara_toy	
item_publish_gift_36_04_01	
item_event_flower_02_01	
item_galactic_gathering_2008_painting_04_01	
item_emperors_day_anniversary_goggles	
item_event_halloween_trick_device_03_01	
item_event_halloween_painting	
item_event_halloween_house_sign	
item_event_halloween_house_sign_standing	
publish_gift_chapter_11_snow_machine_02_01	
item_event_lifeday_monkey_cage	
item_event_loveday_flowers_2009	
item_event_loveday_painting_2009	
item_event_loveday_fountain	
item_event_loveday_fountain_with_flowers	
item_vet_reward_greeter_gamorrean	
item_special_sign_halloween_hanging_sign	
item_special_sign_halloween_standing_sign	
item_vet_homing_beacon_03_01	
item_vet_5_year_painting_01_01	
object/tangible/veteran_reward/vehicle_transport_skiff.iff	
object/tangible/veteran_reward/respec_voucher_deed.iff	
object/tangible/veteran_reward/vr_nightspider_deed.iff	
object/tangible/veteran_reward/vr_mouse_droid_deed.iff	
object/tangible/veteran_reward/vr_bearded_jax_deed.iff	
object/tangible/veteran_reward/vr_gacklebat_deed.iff	
object/tangible/veteran_reward/vr_mynock_deed.iff	
item_deed_hover_chair_06_01	
object/tangible/deed/player_house_deed/mustafar_house_lg.iff	
object/tangible/veteran_reward/vehicle_transport_skiff.iff	
object/tangible/veteran_reward/structure_storage_increase_deed.iff	
item_tow_schematic_vehicle_02_02	
item_fan_faire_09_live_quest_reward	
item_fan_faire_09_painting	
item_empire_day_imperial_standing_sign_02_01	
item_empire_day_imperial_hanging_sign_02_01	
item_empire_day_rebel_standing_sign_02_01	
item_empire_day_rebel_hanging_sign_02_01	
item_empire_day_poster_rebel_resistance	
item_empire_day_poster_imperial_recruitement	
item_empire_day_poster_rebel_resistance_torn	
item_empire_day_poster_imperial_recruitement_defaced	
item_empire_day_imperial_jade_number	
item_empire_day_rebel_antilles_autograph	
item_empire_day_6yr_painting	
item_event_rebel_decorative_candy_01_01	
item_event_rebel_decorative_drink_01_01	
item_event_imperial_decorative_cookies_01_01	
item_event_imperial_decorative_chocolate_01_01	
item_empire_day_imperial_sandtrooper_backpack	
item_empire_day_rebel_camoflauge_backpack	
item_prolog_content_decorative_science_datapad	
item_pgc_monitorscreen	
item_pgc_monitorscreen_sm	
item_pgc_glass_pane_01	
item_pgc_glass_pane_02	
item_pgc_jabba_chandelier	
item_pgc_jabba_drapes	
item_pgc_jabba_fancyrug	
item_pgc_jabba_gargoyle	
item_pgc_jabba_generator	
item_pgc_jabba_table	
item_pgc_jabba_tassels	
item_pgc_jabba_windchime	
item_pgc_fireplace	
item_pgc_decal_pgc_s01	
item_pgc_decal_pgc_s02	
item_pgc_decal_pgc_s03	
item_pgc_decal_pgc_s04	
item_pgc_decal_pgc_s05	
item_pgc_decal_pgc_s06	
item_pgc_planet_hologram_corellia	
item_pgc_planet_hologram_dantooine	
item_pgc_planet_hologram_dathomir	
item_pgc_planet_hologram_endor	
item_pgc_planet_hologram_lok	
item_pgc_planet_hologram_naboo	
item_pgc_planet_hologram_rori	
item_pgc_planet_hologram_talus	
item_pgc_planet_hologram_tatooine	
item_pgc_planet_hologram_yavin4	
item_pgc_planet_hologram_corellia_02	
item_pgc_planet_hologram_dantooine_02	
item_pgc_planet_hologram_dathomir_02	
item_pgc_planet_hologram_endor_02	
item_pgc_planet_hologram_lok_02	
item_pgc_planet_hologram_naboo_02	
item_pgc_planet_hologram_rori_02	
item_pgc_planet_hologram_talus_02	
item_pgc_planet_hologram_tatooine_02	
item_pgc_planet_hologram_yavin4_02	
item_publish_gift_update_14_statuette	
item_vehicle_deed_flare_s_swoop	
item_vehicle_deed_hoverlifter_speeder	
item_outbreak_undead_blackwing_crystal	
item_outbreak_deathrooper_rifle	
item_outbreak_cornburr_brain	
item_gcw_rebel_cape_01	
item_gcw_imperial_cape_01	
item_gcw_imperial_jacket_01	
item_gcw_rebel_jacket_01	
item_gcw_weapon_rack_01	
item_gcw_weapon_rack_02	
item_gcw_imperial_painting_01	
item_gcw_rebel_painting_01	
weapon_gcw_dh18a_pistol_03_01	
weapon_gcw_tc22_rifle_03_01	
weapon_gcw_heavy_pulse_cannon_03_01	
weapon_gcw_lance_03_01	
weapon_gcw_carbine_charric_03_01	
item_gcw_imperial_rug_01	
item_gcw_rebel_rug_01	
item_schematic_pvp_gcw_saber_1h_gen4	
item_schematic_pvp_gcw_saber_1h_gen5	
item_schematic_pvp_gcw_saber_2h_gen4	
item_schematic_pvp_gcw_saber_2h_gen5	
prop_gcw_imp_glowstick_l	
prop_gcw_imp_glowstick_r	
prop_gcw_reb_glowstick_l	
prop_gcw_reb_glowstick_r	
item_nym_themepark_decal_reward_01_01	
item_nym_themepark_backpack_01_01	
item_nym_themepark_arena_poster_01_01	
item_nym_themepark_rug_01_01	
item_nym_themepark_painting_01_01	
item_nym_themepark_mounted_slugthrower_01_01	
weapon_jinkins_j1_01_01	
item_vet_exp_buff_item_03_01	
item_auto_level_50_buddy_conversion	
item_reward_buddy_xp_chip_06_01	
item_vet_reward_token_01_01	
item_vet_reward_78month_ttgm_itt	
item_token_duty_space_01_01	
item_imperial_station_token_01_01	
item_rebel_station_token_01_01	
item_tow_fwd_commander_stim_05_01	
item_tow_foreman_fire_absorb_04_01	
item_tow_foreman_burst_run_04_01	
item_painting_01	
item_emperors_eyes_01	
item_fighters_study_01	
item_hutt_greed_01	
item_imperial_oppression_01	
item_poster_ship_schematic_01	
item_tatooine_dune_speeder_01	
item_tcg_loot_reward_series1_diner	
item_tcg_loot_reward_series1_barn	
item_tcg_loot_reward_series3_jedi_meditation_room_deed	
item_tcg_loot_reward_series3_sith_meditation_room_deed	
