componentType	rareItems
s	s
armor	item_token_duty_space_01_01
engine	space_collection_booster_mark_05_incom
shield_generator	space_collection_booster_mark_05_kessel
weapon	space_collection_booster_mark_05_koensayr
booster	space_collection_booster_mark_05_kse
droid_interface	space_collection_booster_mark_05_mandal
	space_collection_booster_mark_05_moncal
	space_collection_booster_mark_05_novaldex
	space_collection_booster_mark_05_qualdex
	space_collection_capacitor_mark_05_corellian
	space_collection_capacitor_mark_05_incom
	space_collection_capacitor_mark_05_koensayr
	space_collection_capacitor_mark_05_kse
	space_collection_capacitor_mark_05_mandal
	space_collection_capacitor_mark_05_moncal
	space_collection_capacitor_mark_05_novaldex
	space_collection_capacitor_mark_05_qualdex
	space_collection_engine_mark_05_cygnus
	space_collection_engine_mark_05_incom
	space_collection_engine_mark_05_koensayr
	space_collection_engine_mark_05_kse
	space_collection_engine_mark_05_mandal
	space_collection_engine_mark_05_moncal
	space_collection_engine_mark_05_novaldex
	space_collection_engine_mark_05_qualdex
	space_collection_reactor_mark_05_cygnus
	space_collection_reactor_mark_05_freitek
	space_collection_reactor_mark_05_incom
	space_collection_reactor_mark_05_koensayr
	space_collection_reactor_mark_05_kse
	space_collection_reactor_mark_05_mandal
	space_collection_reactor_mark_05_seinar
	space_collection_reactor_mark_05_subpro
	item_tcg_loot_reward_series5_player_house_hangar
	item_pgc_starship_storage_device_01
	item_player_house_deed_yt1300
	item_painting_01
	item_emperors_eyes_01
	item_fighters_study_01
	item_hutt_greed_01
	item_imperial_oppression_01
	item_poster_ship_schematic_01
	item_tatooine_dude_speeder_01
	item_holocron_06_09
	item_ascd_token_01
	item_lifeday_gift_self_02_12
	item_lifeday_gift_self_02_13
	item_lifeday_gift_self_02_14
