id	Items	Include Items From	Category	Feature Bit Reward Exclusion Mask	Account Flags	Account Feature Id	Feature Id Blocked by Subscription Bit	Consume Account Feature Id	Account Age Days	Character Age Days	Character Objvar	Once Per Account	Announcement Message	Description	URL	Start Date yyyy	Start Date mm	Start Date dd	End Date yyyy	End Date mm	End Date dd	Buddy Points	Comments
s	s	s	i[0]	i	i	i	i[0]	b[1]	i	i	s	b	s	s	s	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i	c
3mo	poweredharvester,dataterminal1,dataterminal2,dataterminal3,dataterminal4,mini_protocoldroid,mini_r2		1	0	0	0	0		7	0		1	veteran_new:announcement_90day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								Rewards that have the same non-zero Category value must be claimed
6mo	resourcecrate,falconcouch,falconchair,mini_tiefighter,mini_xwing	3mo	1	0	0	0	0		14	0		1	veteran_new:announcement_180day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								in the order that the rewards are listed (i.e. only the first qualified reward in the category will be listed,
9mo	houseplant,display_stand	3mo,6mo	1	0	0	0	0		21	0		1	veteran_new:announcement_270day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								and it must be claimed before the next qualified reward in the category will be listed)
12mo	techconsole_a,techconsole_b,techconsole_c,techconsole_d,mini_jabba,mini_stormtrooper	3mo,6mo,9mo	1	0	0	0	0		28	0		1	veteran_new:announcement_360day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
15mo	holo_impguard,mini_cupa	3mo,6mo,9mo,12mo	1	0	0	0	0		35	0		1	veteran_new:announcement_450day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
18mo	rug_imperial,rug_rebel	3mo,6mo,9mo,12mo,15mo	1	0	0	0	0		42	0		1	veteran_new:announcement_540day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
21mo	holo_starfighter,holo_sandcrawler	3mo,6mo,9mo,12mo,15mo,18mo	1	0	0	0	0		49	0		1	veteran_new:announcement_630day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
24mo	holo_deathstar,fireplace	3mo,6mo,9mo,12mo,15mo,18mo,21mo	1	0	0	0	0		56	0		1	veteran_new:announcement_720day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
27mo	holo_leia,mini_dewback	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo	1	0	0	0	0		63	0		1	veteran_new:announcement_810day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
30mo	holo_yoda,emp_chair	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo	1	0	0	0	0		70	0		1	veteran_new:announcement_900day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
33mo	holo_jawa,mini_rancor	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo	1	0	0	0	0		77	0		1	veteran_new:announcement_990day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
36mo	mini_boba,mini_atat	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo	1	0	0	0	0		84	0		1	veteran_new:announcement_1080day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
39mo	respec_voucher,storage_increase	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo,36mo	1	0	0	0	0		91	0		1	veteran_new:announcement_1170day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
42mo	holo_darth_vader,holo_luke_skywalker	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo,36mo,39mo	1	0	0	0	0		98	0		1	veteran_new:announcement_1260day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
45mo	mini_tusken,mini_salacious	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo,36mo,39mo,42mo	1	0	0	0	0		105	0		1	veteran_new:announcement_1350day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
48mo	pet_gacklebat,pet_mouse_droid,pet_mynock	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo,36mo,39mo,42mo,45mo	1	0	0	0	0		112	0		1	veteran_new:announcement_1440day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
51mo	carbonite_gungan,carbonite_ugnaught,carbonite_geonosian	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo,36mo,39mo,42mo,45mo,48mo	1	0	0	0	0		126	0		1	veteran_new:announcement_1530day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
54mo	city_flag_kit,podracer_statue,st_boss_battle_droid,st_boss_rebel_comm,st_boss_stormtrooper	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo,36mo,39mo,42mo,45mo,48mo,51mo	1	0	0	0	0		140	0		1	veteran_new:announcement_1620day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
57mo	st_dark_jedi_boss,st_nightsister_boss,st_tusken_boss,homing_beacon	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo,36mo,39mo,42mo,45mo,48mo,51mo,54mo	1	0	0	0	0		154	0		1	veteran_new:announcement_1710day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
60mo	hover_chair	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo,36mo,39mo,42mo,45mo,48mo,51mo,54mo,57mo	1	0	0	0	0		168	0		1	veteran_new:announcement_1800day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
63mo	yoda_fountain,emp_statue	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo,36mo,39mo,42mo,45mo,48mo,51mo,54mo,57mo,60mo	1	0	0	0	0		182	0		1	veteran_new:announcement_1890day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
66mo	jedi_temple,jedi_temple_burning	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo,36mo,39mo,42mo,45mo,48mo,51mo,54mo,57mo,60mo,63mo	1	0	0	0	0		196	0		1	veteran_new:announcement_1980day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
69mo	greeter_gamorrean	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo,36mo,39mo,42mo,45mo,48mo,51mo,54mo,57mo,60mo,63mo,66mo	1	0	0	0	0		210	0		1	veteran_new:announcement_2070day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
72mo	windu_statue,maul_statue	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo,36mo,39mo,42mo,45mo,48mo,51mo,54mo,57mo,60mo,63mo,66mo,69mo	1	0	0	0	0		240	0		1	veteran_new:announcement_2160day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
75mo	75month_houseplant	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo,36mo,39mo,42mo,45mo,48mo,51mo,54mo,57mo,60mo,63mo,66mo,69mo,72mo	1	0	0	0	0		270	0		1	veteran_new:announcement_2250day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
78mo	78month_ttgm_terminal	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo,36mo,39mo,42mo,45mo,48mo,51mo,54mo,57mo,60mo,63mo,66mo,69mo,72mo,75mo	1	0	0	0	0		300	0		1	veteran_new:announcement_2340day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
81mo	lockout_timer_remover	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo,36mo,39mo,42mo,45mo,48mo,51mo,54mo,57mo,60mo,63mo,66mo,69mo,72mo,75mo,78mo	1	0	0	0	0		360	0		1	veteran_new:announcement_2430day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
84mo	sd_console_1,sd_console_2	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo,36mo,39mo,42mo,45mo,48mo,51mo,54mo,57mo,60mo,63mo,66mo,69mo,72mo,75mo,78mo,81mo	1	0	0	0	0		420	0		1	veteran_new:announcement_2520day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
87mo	respec_reset	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo,36mo,39mo,42mo,45mo,48mo,51mo,54mo,57mo,60mo,63mo,66mo,69mo,72mo,75mo,78mo,81mo,84mo	1	0	0	0	0		480	0		1	veteran_new:announcement_2610day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
90mo	resource_supply_crate	3mo,6mo,9mo,12mo,15mo,18mo,21mo,24mo,27mo,30mo,33mo,36mo,39mo,42mo,45mo,48mo,51mo,54mo,57mo,60mo,63mo,66mo,69mo,72mo,75mo,78mo,81mo,84mo,87mo	1	0	0	0	0		570	0		1	veteran_new:announcement_2700day	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
6moJTL	sorosuub			0	16	0	0		0	0		0	veteran_new:announcement_180day_jtl	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
ROWpreorder	varactyl			0	1048576	0	0		0	0		1	veteran_new:announcement_row_preorder	veteran_new:choice_description	web.archive.org/web/20051015220442/http://starwarsgalaxies.station.sony.com/content.jsp?page=Friday%20Feature%20Sneak%20Peek:%20New%20Rideable%20Mounts%20and%20Speeder	2005	5	5					
ROWretail	barc_speeder			0	2097152	0	0		0	0		1	veteran_new:announcement_row_retail	veteran_new:choice_description	web.archive.org/web/20051015220442/http://starwarsgalaxies.station.sony.com/content.jsp?page=Friday%20Feature%20Sneak%20Peek:%20New%20Rideable%20Mounts%20and%20Speeder								
ToOWretail	tow_retail_reward			0	4194304	0	0		0	0		1	veteran_new:announcement_tow_retail	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
ToOWpreorder	transport_skiff			0	16384	0	0		0	0		1	veteran_new:announcement_tow_preorder	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
StarterKit	instant_travel			0	65536	0	0		0	0		0	veteran_new:announcement_starter_kit	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
FreeTrial2Conversion	cybernetic_xp_chip			0	262144	0	0		0	0		1	veteran_new:announcement_freetrial2_conversion	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
COAretail	walker_at_rt			0	524288	0	0		0	0		1	veteran_new:announcement_coa_retail	veteran_new:choice_description	web.archive.org/web/20051015220442/http://starwarsgalaxies.station.sony.com/content.jsp?page=Friday%20Feature%20Sneak%20Peek:%20New%20Rideable%20Mounts%20and%20Speeder								
itvRoyal	instant_travel_royal_ship			0	33554432	0	0		0	0		0	veteran_new:announcement_itv_royal	veteran_new:choice_description	web.archive.org/web/20090207200717/http://starwarsgalaxies.station.sony.com/content.vm?page=Veteran%20Rewards								
