level	xp_required	xp_type	xp_multiplier	health_granted	expertise_points
i	i	s	i	i	i
1	0	combat_meleespecialize_unarmed	1	0	0
2	500	combat_meleespecialize_onehand	1	50	0
3	1700	combat_meleespecialize_twohand	1	75	0
4	3800	combat_meleespecialize_polearm	1	100	0
5	6900	combat_rangedspecialize_rifle	1	125	0
6	11000	combat_rangedspecialize_pistol	1	150	0
7	16200	combat_rangedspecialize_carbine	1	175	0
8	22600	combat_rangedspecialize_heavy	1	200	0
9	30300	bountyhunter	35	225	0
10	39400	jedi_general	1	250	5
11	50000	crafting_medicine_general	1	275	0
12	62200	combat_general	1	300	1
13	76000	medical	1	325	0
14	91500	creaturehandler	1	350	1
15	108800	trapping	1	375	0
16	128000	scout	1	390	1
17	149200	entertainer	1	405	0
18	172500	crafting	1	420	1
19	198000			435	0
20	225800			450	1
21	256000			465	0
22	288700			480	1
23	324000			495	0
24	362000			510	1
25	402800			525	0
26	446500			540	1
27	493200			555	0
28	543000			570	1
29	596000			585	0
30	652300			600	1
31	712100			615	0
32	775500			630	1
33	842600			645	0
34	913600			660	1
35	988600			675	0
36	1067800			690	1
37	1151300			705	0
38	1239300			720	1
39	1331900			735	0
40	1429300			750	1
41	1531600			765	0
42	1639000			780	1
43	1751700			795	0
44	1869900			810	1
45	1993800			825	0
46	2123600			840	1
47	2259500			855	0
48	2401700			870	1
49	2550400			885	0
50	2705800			900	1
51	2868100			915	0
52	3037600			930	1
53	3214500			945	0
54	3399000			960	1
55	3591400			1000	0
56	3792000			1040	1
57	4001000			1080	0
58	4218700			1120	1
59	4445400			1160	0
60	4681400			1200	1
61	4927000			1240	0
62	5182500			1280	1
63	5448300			1320	0
64	5724700			1360	1
65	6012100			1400	0
66	6310800			1440	1
67	6621200			1480	0
68	6943700			1520	1
69	7278700			1560	0
70	7626600			1600	1
71	7987800			1640	0
72	8362800			1680	1
73	8752000			1720	0
74	9155900			1760	1
75	9575000			1800	0
76	10009800			1840	1
77	10460800			1880	0
78	10928500			1920	1
79	11413500			1960	0
80	11916400			2000	1
81	12437700			2000	0
82	12978100			2000	1
83	13538200			2000	0
84	14118600			2000	1
85	14720000			2000	0
86	15343100			2000	1
87	15988600			2000	0
88	16657200			2000	1
89	17349700			2000	0
90	18066900			2000	1
91	20066900			2000	0
92	22066900			2000	0
93	24066900			2000	0
94	26066900			2000	0
95	28066900			2000	1
96	30066900			2000	0
97	32066900			2000	0
98	34066900			2000	0
99	36066900			2000	0
100	40066900			2000	1
